code,l1,l2,desc,l1_desc,l2_desc
14E16,14,14Exx,McKay correspondence,Algebraic geometry,Birational geometry
14E18,14,14Exx,Arcs and motivic integration,Algebraic geometry,Birational geometry
14E20,14,14Exx,Coverings in algebraic geometry [See also 14H30],Algebraic geometry,Birational geometry
14E22,14,14Exx,Ramification problems in algebraic geometry [See also 11S15],Algebraic geometry,Birational geometry
14E25,14,14Exx,Embeddings in algebraic geometry,Algebraic geometry,Birational geometry
14E30,14,14Exx,"Minimal model program (Mori theory, extremal rays)",Algebraic geometry,Birational geometry
14E99,14,14Exx,"None of the above, but in this section",Algebraic geometry,Birational geometry
14F06,14,14Fxx,"Sheaves in algebraic geometry [See also 14F08, 14H60, 14J60, 18F20, 32L10, 46M20]",Algebraic geometry,(Co)homology theory in algebraic geometry [See also 13Dxx]
14F08,14,14Fxx,"Derived categories of sheaves, dg categories, and related constructions in algebraic geometry [See also 14A30,",Algebraic geometry,(Co)homology theory in algebraic geometry [See also 13Dxx]
14F10,14,14Fxx,"Differentials and other special sheaves; D-modules; Bernstein-Sato ideals and polynomials [See also 13Nxx,",Algebraic geometry,(Co)homology theory in algebraic geometry [See also 13Dxx]
14F17,14,14Fxx,Vanishing theorems in algebraic geometry [See also 32L20],Algebraic geometry,(Co)homology theory in algebraic geometry [See also 13Dxx]
14F18,14,14Fxx,Multiplier ideals,Algebraic geometry,(Co)homology theory in algebraic geometry [See also 13Dxx]
14F20,14,14Fxx,Étale and other Grothendieck topologies and (co)homologies,Algebraic geometry,(Co)homology theory in algebraic geometry [See also 13Dxx]
14F22,14,14Fxx,"Brauer groups of schemes [See also 12G05, 16K50]",Algebraic geometry,(Co)homology theory in algebraic geometry [See also 13Dxx]
14F25,14,14Fxx,Classical real and complex (co)homology in algebraic geometry,Algebraic geometry,(Co)homology theory in algebraic geometry [See also 13Dxx]
14F30,14,14Fxx,"p-adic cohomology, crystalline cohomology",Algebraic geometry,(Co)homology theory in algebraic geometry [See also 13Dxx]
14F35,14,14Fxx,Homotopy theory and fundamental groups in algebraic geometry [See also 14H30],Algebraic geometry,(Co)homology theory in algebraic geometry [See also 13Dxx]
14F40,14,14Fxx,"de Rham cohomology and algebraic geometry [See also 14C30, 32C35, 32L10]",Algebraic geometry,(Co)homology theory in algebraic geometry [See also 13Dxx]
14F42,14,14Fxx,Motivic cohomology; motivic homotopy theory [See also 19E15],Algebraic geometry,(Co)homology theory in algebraic geometry [See also 13Dxx]
14F43,14,14Fxx,"Other algebro-geometric (co)homologies (e.g., intersection, equivariant, Lawson, Deligne (co)homologies)",Algebraic geometry,(Co)homology theory in algebraic geometry [See also 13Dxx]
14F45,14,14Fxx,Topological properties in algebraic geometry,Algebraic geometry,(Co)homology theory in algebraic geometry [See also 13Dxx]
14F99,14,14Fxx,"None of the above, but in this section",Algebraic geometry,(Co)homology theory in algebraic geometry [See also 13Dxx]
14G05,14,14Gxx,Rational points,Algebraic geometry,Arithmetic problems in algebraic geometry; Diophantine geometry [See also
14G10,14,14Gxx,"Zeta functions and related questions in algebraic geometry (e.g., Birch-Swinnerton-Dyer conjecture) [See",Algebraic geometry,Arithmetic problems in algebraic geometry; Diophantine geometry [See also
14G12,14,14Gxx,"Hasse principle, weak and strong approximation, Brauer-Manin obstruction [See also 14F22]",Algebraic geometry,Arithmetic problems in algebraic geometry; Diophantine geometry [See also
14G15,14,14Gxx,Finite ground fields in algebraic geometry,Algebraic geometry,Arithmetic problems in algebraic geometry; Diophantine geometry [See also
14G17,14,14Gxx,Positive characteristic ground fields in algebraic geometry,Algebraic geometry,Arithmetic problems in algebraic geometry; Diophantine geometry [See also
14G20,14,14Gxx,Local ground fields in algebraic geometry,Algebraic geometry,Arithmetic problems in algebraic geometry; Diophantine geometry [See also
14G22,14,14Gxx,Rigid analytic geometry,Algebraic geometry,Arithmetic problems in algebraic geometry; Diophantine geometry [See also
14G25,14,14Gxx,Global ground fields in algebraic geometry,Algebraic geometry,Arithmetic problems in algebraic geometry; Diophantine geometry [See also
14G27,14,14Gxx,Other nonalgebraically closed ground fields in algebraic geometry,Algebraic geometry,Arithmetic problems in algebraic geometry; Diophantine geometry [See also
14G32,14,14Gxx,"Universal profinite groups (relationship to moduli spaces, projective and moduli towers, Galois theory)",Algebraic geometry,Arithmetic problems in algebraic geometry; Diophantine geometry [See also
14G35,14,14Gxx,"Modular and Shimura varieties [See also 11F41, 11F46, 11G18]",Algebraic geometry,Arithmetic problems in algebraic geometry; Diophantine geometry [See also
14G40,14,14Gxx,"Arithmetic varieties and schemes; Arakelov theory; heights [See also 11G50, 37P30]",Algebraic geometry,Arithmetic problems in algebraic geometry; Diophantine geometry [See also
14G45,14,14Gxx,Perfectoid spaces and mixed characteristic,Algebraic geometry,Arithmetic problems in algebraic geometry; Diophantine geometry [See also
14G50,14,14Gxx,"Applications to coding theory and cryptography of arithmetic geometry [See also 94A60, 94B27, 94B40]",Algebraic geometry,Arithmetic problems in algebraic geometry; Diophantine geometry [See also
14G99,14,14Gxx,"None of the above, but in this section",Algebraic geometry,Arithmetic problems in algebraic geometry; Diophantine geometry [See also
14H05,14,14Hxx,Algebraic functions and function fields in algebraic geometry [See also 11R58],Algebraic geometry,Curves in algebraic geometry
14H10,14,14Hxx,"Families, moduli of curves (algebraic)",Algebraic geometry,Curves in algebraic geometry
14H15,14,14Hxx,"Families, moduli of curves (analytic) [See also 30F10, 32G15]",Algebraic geometry,Curves in algebraic geometry
14H20,14,14Hxx,"Singularities of curves, local rings [See also 13Hxx, 14B05]",Algebraic geometry,Curves in algebraic geometry
14H25,14,14Hxx,"Arithmetic ground fields for curves [See also 11Dxx, 11G05, 14Gxx]",Algebraic geometry,Curves in algebraic geometry
14H30,14,14Hxx,"Coverings of curves, fundamental group [See also 14E20, 14F35]",Algebraic geometry,Curves in algebraic geometry
14H37,14,14Hxx,Automorphisms of curves,Algebraic geometry,Curves in algebraic geometry
14H40,14,14Hxx,"Jacobians, Prym varieties [See also 32G20]",Algebraic geometry,Curves in algebraic geometry
14H42,14,14Hxx,"Theta functions and curves; Schottky problem [See also 14K25, 32G20]",Algebraic geometry,Curves in algebraic geometry
14H45,14,14Hxx,Special algebraic curves and curves of low genus,Algebraic geometry,Curves in algebraic geometry
14H50,14,14Hxx,Plane and space curves,Algebraic geometry,Curves in algebraic geometry
14H51,14,14Hxx,"Special divisors on curves (gonality, Brill-Noether theory)",Algebraic geometry,Curves in algebraic geometry
14H52,14,14Hxx,"Elliptic curves [See also 11G05, 11G07, 14Kxx]",Algebraic geometry,Curves in algebraic geometry
14H55,14,14Hxx,Riemann surfaces; Weierstrass points; gap sequences [See also 30Fxx],Algebraic geometry,Curves in algebraic geometry
14H57,14,14Hxx,"Dessins d’enfants theory {For arithmetic aspects, see 11G32}",Algebraic geometry,Curves in algebraic geometry
14H60,14,14Hxx,"Vector bundles on curves and their moduli [See also 14D20, 14F06, 14J60]",Algebraic geometry,Curves in algebraic geometry
14H70,14,14Hxx,Relationships between algebraic curves and integrable systems,Algebraic geometry,Curves in algebraic geometry
14H81,14,14Hxx,Relationships between algebraic curves and physics,Algebraic geometry,Curves in algebraic geometry
14H99,14,14Hxx,"None of the above, but in this section",Algebraic geometry,Curves in algebraic geometry
14J10,14,14Jxx,"Families, moduli, classification: algebraic theory",Algebraic geometry,"Surfaces and higher-dimensional varieties {For analytic theory, see 32Jxx}"
14J15,14,14Jxx,"Moduli, classification: analytic theory; relations with modular forms [See also 32G13]",Algebraic geometry,"Surfaces and higher-dimensional varieties {For analytic theory, see 32Jxx}"
14J17,14,14Jxx,"Singularities of surfaces or higher-dimensional varieties [See also 14B05, 14E15, 32S05, 32S25]",Algebraic geometry,"Surfaces and higher-dimensional varieties {For analytic theory, see 32Jxx}"
14J20,14,14Jxx,"Arithmetic ground fields for surfaces or higher-dimensional varieties [See also 11Dxx, 11G25, 11G35, 14Gxx]",Algebraic geometry,"Surfaces and higher-dimensional varieties {For analytic theory, see 32Jxx}"
14J25,14,14Jxx,"Special surfaces {For Hilbert modular surfaces, see 14G35}",Algebraic geometry,"Surfaces and higher-dimensional varieties {For analytic theory, see 32Jxx}"
14J26,14,14Jxx,Rational and ruled surfaces,Algebraic geometry,"Surfaces and higher-dimensional varieties {For analytic theory, see 32Jxx}"
14J27,14,14Jxx,"Elliptic surfaces, elliptic or Calabi-Yau fibrations",Algebraic geometry,"Surfaces and higher-dimensional varieties {For analytic theory, see 32Jxx}"
14J28,14,14Jxx,K3 surfaces and Enriques surfaces,Algebraic geometry,"Surfaces and higher-dimensional varieties {For analytic theory, see 32Jxx}"
14J29,14,14Jxx,Surfaces of general type,Algebraic geometry,"Surfaces and higher-dimensional varieties {For analytic theory, see 32Jxx}"
14J30,14,14Jxx,3-folds,Algebraic geometry,"Surfaces and higher-dimensional varieties {For analytic theory, see 32Jxx}"
14J32,14,14Jxx,Calabi-Yau manifolds (algebro-geometric aspects) [See also 32Q25],Algebraic geometry,"Surfaces and higher-dimensional varieties {For analytic theory, see 32Jxx}"
14J33,14,14Jxx,"Mirror symmetry (algebro-geometric aspects) [See also 11G42, 53D37]",Algebraic geometry,"Surfaces and higher-dimensional varieties {For analytic theory, see 32Jxx}"
14J35,14,14Jxx,4-folds,Algebraic geometry,"Surfaces and higher-dimensional varieties {For analytic theory, see 32Jxx}"
14J40,14,14Jxx,n-folds (n > 4),Algebraic geometry,"Surfaces and higher-dimensional varieties {For analytic theory, see 32Jxx}"
14J42,14,14Jxx,"Holomorphic symplectic varieties, hyper-Kähler varieties",Algebraic geometry,"Surfaces and higher-dimensional varieties {For analytic theory, see 32Jxx}"
14J45,14,14Jxx,Fano varieties,Algebraic geometry,"Surfaces and higher-dimensional varieties {For analytic theory, see 32Jxx}"
14J50,14,14Jxx,Automorphisms of surfaces and higher-dimensional varieties,Algebraic geometry,"Surfaces and higher-dimensional varieties {For analytic theory, see 32Jxx}"
14J60,14,14Jxx,"Vector bundles on surfaces and higher-dimensional varieties, and their moduli [See also 14D20, 14F06, 14H60,",Algebraic geometry,"Surfaces and higher-dimensional varieties {For analytic theory, see 32Jxx}"
14J70,14,14Jxx,Hypersurfaces and algebraic geometry,Algebraic geometry,"Surfaces and higher-dimensional varieties {For analytic theory, see 32Jxx}"
14J80,14,14Jxx,"Topology of surfaces (Donaldson polynomials, Seiberg-Witten invariants)",Algebraic geometry,"Surfaces and higher-dimensional varieties {For analytic theory, see 32Jxx}"
14J81,14,14Jxx,"Relationships between surfaces, higher-dimensional varieties, and physics",Algebraic geometry,"Surfaces and higher-dimensional varieties {For analytic theory, see 32Jxx}"
14J99,14,14Jxx,"None of the above, but in this section",Algebraic geometry,"Surfaces and higher-dimensional varieties {For analytic theory, see 32Jxx}"
14K02,14,14Kxx,Isogeny,Algebraic geometry,Abelian varieties and schemes
14K05,14,14Kxx,Algebraic theory of abelian varieties,Algebraic geometry,Abelian varieties and schemes
14K10,14,14Kxx,"Algebraic moduli of abelian varieties, classification [See also 11G15]",Algebraic geometry,Abelian varieties and schemes
14K12,14,14Kxx,Subvarieties of abelian varieties,Algebraic geometry,Abelian varieties and schemes
14K15,14,14Kxx,"Arithmetic ground fields for abelian varieties [See also 11Dxx, 11Fxx, 11G10, 14Gxx]",Algebraic geometry,Abelian varieties and schemes
14K20,14,14Kxx,Analytic theory of abelian varieties; abelian integrals and differentials,Algebraic geometry,Abelian varieties and schemes
14K22,14,14Kxx,Complex multiplication and abelian varieties [See also 11G15],Algebraic geometry,Abelian varieties and schemes
14K25,14,14Kxx,Theta functions and abelian varieties [See also 14H42],Algebraic geometry,Abelian varieties and schemes
14K30,14,14Kxx,"Picard schemes, higher Jacobians [See also 14H40, 32G20]",Algebraic geometry,Abelian varieties and schemes
14K99,14,14Kxx,"None of the above, but in this section",Algebraic geometry,Abelian varieties and schemes
14L05,14,14Lxx,"Formal groups, p-divisible groups [See also 55N22]",Algebraic geometry,"Algebraic groups [See also 11E57] {For Lie algebras, see 17B45; for linear algebraic groups, see 20Gxx}"
14L10,14,14Lxx,Group varieties,Algebraic geometry,"Algebraic groups [See also 11E57] {For Lie algebras, see 17B45; for linear algebraic groups, see 20Gxx}"
14L15,14,14Lxx,Group schemes,Algebraic geometry,"Algebraic groups [See also 11E57] {For Lie algebras, see 17B45; for linear algebraic groups, see 20Gxx}"
14L17,14,14Lxx,"Affine algebraic groups, hyperalgebra constructions [See also 17B45, 18C40]",Algebraic geometry,"Algebraic groups [See also 11E57] {For Lie algebras, see 17B45; for linear algebraic groups, see 20Gxx}"
14L24,14,14Lxx,Geometric invariant theory [See also 13A50],Algebraic geometry,"Algebraic groups [See also 11E57] {For Lie algebras, see 17B45; for linear algebraic groups, see 20Gxx}"
14L30,14,14Lxx,"Group actions on varieties or schemes (quotients) [See also 13A50, 14L24, 14M17]",Algebraic geometry,"Algebraic groups [See also 11E57] {For Lie algebras, see 17B45; for linear algebraic groups, see 20Gxx}"
14L35,14,14Lxx,"Classical groups (algebro-geometric aspects) [See also 20Gxx, 51N30]",Algebraic geometry,"Algebraic groups [See also 11E57] {For Lie algebras, see 17B45; for linear algebraic groups, see 20Gxx}"
14L40,14,14Lxx,Other algebraic groups (geometric aspects),Algebraic geometry,"Algebraic groups [See also 11E57] {For Lie algebras, see 17B45; for linear algebraic groups, see 20Gxx}"
14L99,14,14Lxx,"None of the above, but in this section",Algebraic geometry,"Algebraic groups [See also 11E57] {For Lie algebras, see 17B45; for linear algebraic groups, see 20Gxx}"
14M05,14,14Mxx,"Varieties defined by ring conditions (factorial, Cohen-Macaulay, seminormal) [See also 13F15, 13F45, 13H10]",Algebraic geometry,Special varieties
14M06,14,14Mxx,Linkage [See also 13C40],Algebraic geometry,Special varieties
14M07,14,14Mxx,Low codimension problems in algebraic geometry,Algebraic geometry,Special varieties
14M10,14,14Mxx,Complete intersections [See also 13C40],Algebraic geometry,Special varieties
14M12,14,14Mxx,Determinantal varieties [See also 13C40],Algebraic geometry,Special varieties
14M15,14,14Mxx,"Grassmannians, Schubert varieties, flag manifolds [See also 32M10, 51M35]",Algebraic geometry,Special varieties
14M17,14,14Mxx,"Homogeneous spaces and generalizations [See also 32M10, 53C30, 57T15]",Algebraic geometry,Special varieties
14M20,14,14Mxx,Rational and unirational varieties [See also 14E08],Algebraic geometry,Special varieties
14M22,14,14Mxx,Rationally connected varieties,Algebraic geometry,Special varieties
14M25,14,14Mxx,"Toric varieties, Newton polyhedra, Okounkov bodies [See also 52B20]",Algebraic geometry,Special varieties
14M27,14,14Mxx,Compactifications; symmetric and spherical varieties,Algebraic geometry,Special varieties
14M30,14,14Mxx,"Supervarieties [See also 32C11, 58A50]",Algebraic geometry,Special varieties
14M35,14,14Mxx,Character varieties,Algebraic geometry,Special varieties
14M99,14,14Mxx,"None of the above, but in this section",Algebraic geometry,Special varieties
14N05,14,14Nxx,Projective techniques in algebraic geometry [See also 51N35],Algebraic geometry,Projective and enumerative algebraic geometry [See also 51-XX]
14N07,14,14Nxx,"Secant varieties, tensor rank, varieties of sums of powers",Algebraic geometry,Projective and enumerative algebraic geometry [See also 51-XX]
14N10,14,14Nxx,Enumerative problems (combinatorial problems) in algebraic geometry,Algebraic geometry,Projective and enumerative algebraic geometry [See also 51-XX]
14N15,14,14Nxx,"Classical problems, Schubert calculus",Algebraic geometry,Projective and enumerative algebraic geometry [See also 51-XX]
14N20,14,14Nxx,Configurations and arrangements of linear subspaces,Algebraic geometry,Projective and enumerative algebraic geometry [See also 51-XX]
14N25,14,14Nxx,Varieties of low degree,Algebraic geometry,Projective and enumerative algebraic geometry [See also 51-XX]
14N30,14,14Nxx,Adjunction problems,Algebraic geometry,Projective and enumerative algebraic geometry [See also 51-XX]
14N35,14,14Nxx,"Gromov-Witten invariants, quantum cohomology, Gopakumar-Vafa invariants, Donaldson-Thomas invariants (algebro-geometric aspects) [See also 53D45]",Algebraic geometry,Projective and enumerative algebraic geometry [See also 51-XX]
14N99,14,14Nxx,"None of the above, but in this section",Algebraic geometry,Projective and enumerative algebraic geometry [See also 51-XX]
14P05,14,14Pxx,"Real algebraic sets [See also 12D15, 13J30]",Algebraic geometry,Real algebraic and real-analytic geometry
14P10,14,14Pxx,Semialgebraic sets and related spaces,Algebraic geometry,Real algebraic and real-analytic geometry
14P15,14,14Pxx,"Real-analytic and semi-analytic sets [See also 32B20, 32C05]",Algebraic geometry,Real algebraic and real-analytic geometry
14P20,14,14Pxx,"Nash functions and manifolds [See also 32C07, 58A07]",Algebraic geometry,Real algebraic and real-analytic geometry
14P25,14,14Pxx,Topology of real algebraic varieties,Algebraic geometry,Real algebraic and real-analytic geometry
14P99,14,14Pxx,"None of the above, but in this section",Algebraic geometry,Real algebraic and real-analytic geometry
14Q05,14,14Qxx,Computational aspects of algebraic curves [See also 14Hxx],Algebraic geometry,"Computational aspects in algebraic geometry {For software etc., see 14-04} [See"
14Q10,14,14Qxx,Computational aspects of algebraic surfaces [See also 14Jxx],Algebraic geometry,"Computational aspects in algebraic geometry {For software etc., see 14-04} [See"
14Q15,14,14Qxx,"Computational aspects of higher-dimensional varieties [See also 14Jxx, 14Mxx]",Algebraic geometry,"Computational aspects in algebraic geometry {For software etc., see 14-04} [See"
14Q20,14,14Qxx,"Effectivity, complexity and computational aspects of algebraic geometry",Algebraic geometry,"Computational aspects in algebraic geometry {For software etc., see 14-04} [See"
14Q25,14,14Qxx,"Computational algebraic geometry over arithmetic ground fields [See also 14Gxx, 14H25, 14Kxx]",Algebraic geometry,"Computational aspects in algebraic geometry {For software etc., see 14-04} [See"
14Q30,14,14Qxx,Computational real algebraic geometry [See also 14Pxx],Algebraic geometry,"Computational aspects in algebraic geometry {For software etc., see 14-04} [See"
14Q65,14,14Qxx,Geometric aspects of numerical algebraic geometry [See also 65H14],Algebraic geometry,"Computational aspects in algebraic geometry {For software etc., see 14-04} [See"
14Q99,14,14Qxx,"None of the above, but in this section",Algebraic geometry,"Computational aspects in algebraic geometry {For software etc., see 14-04} [See"
14R05,14,14Rxx,Classification of affine varieties,Algebraic geometry,Affine geometry
14R10,14,14Rxx,"Affine spaces (automorphisms, embeddings, exotic structures, cancellation problem)",Algebraic geometry,Affine geometry
14R15,14,14Rxx,Jacobian problem [See also 13F20],Algebraic geometry,Affine geometry
14R20,14,14Rxx,"Group actions on affine varieties [See also 13A50, 14L30]",Algebraic geometry,Affine geometry
14R25,14,14Rxx,Affine fibrations [See also 14D06],Algebraic geometry,Affine geometry
14R99,14,14Rxx,"None of the above, but in this section",Algebraic geometry,Affine geometry
14T10,14,14Txx,"Foundations of tropical geometry and relations with algebra {For algebraic aspects, see 15A80}",Algebraic geometry,"Tropical geometry [See also 12K10, 14M25, 14N10, 52B20]"
14T15,14,14Txx,Combinatorial aspects of tropical varieties,Algebraic geometry,"Tropical geometry [See also 12K10, 14M25, 14N10, 52B20]"
14T20,14,14Txx,Geometric aspects of tropical varieties,Algebraic geometry,"Tropical geometry [See also 12K10, 14M25, 14N10, 52B20]"
14T25,14,14Txx,Arithmetic aspects of tropical varieties,Algebraic geometry,"Tropical geometry [See also 12K10, 14M25, 14N10, 52B20]"
14T90,14,14Txx,Applications of tropical geometry,Algebraic geometry,"Tropical geometry [See also 12K10, 14M25, 14N10, 52B20]"
14T99,14,14Txx,"None of the above, but in this section",Algebraic geometry,"Tropical geometry [See also 12K10, 14M25, 14N10, 52B20]"
15A03,15,15Axx,"Vector spaces, linear dependence, rank, lineability",Linear and multilinear algebra; matrix theory,Basic linear algebra
15A04,15,15Axx,"Linear transformations, semilinear transformations",Linear and multilinear algebra; matrix theory,Basic linear algebra
15A06,15,15Axx,Linear equations (linear algebraic aspects),Linear and multilinear algebra; matrix theory,Basic linear algebra
15A09,15,15Axx,Theory of matrix inversion and generalized inverses,Linear and multilinear algebra; matrix theory,Basic linear algebra
15A10,15,15Axx,Applications of generalized inverses,Linear and multilinear algebra; matrix theory,Basic linear algebra
15A12,15,15Axx,Conditioning of matrices [See also 65F35],Linear and multilinear algebra; matrix theory,Basic linear algebra
15A15,15,15Axx,"Determinants, permanents, traces, other special matrix functions [See also 19B10, 19B14]",Linear and multilinear algebra; matrix theory,Basic linear algebra
15A16,15,15Axx,Matrix exponential and similar functions of matrices,Linear and multilinear algebra; matrix theory,Basic linear algebra
15A18,15,15Axx,"Eigenvalues, singular values, and eigenvectors",Linear and multilinear algebra; matrix theory,Basic linear algebra
15A20,15,15Axx,"Diagonalization, Jordan forms",Linear and multilinear algebra; matrix theory,Basic linear algebra
15A21,15,15Axx,"Canonical forms, reductions, classification",Linear and multilinear algebra; matrix theory,Basic linear algebra
15A22,15,15Axx,Matrix pencils [See also 47A56],Linear and multilinear algebra; matrix theory,Basic linear algebra
15A23,15,15Axx,Factorization of matrices,Linear and multilinear algebra; matrix theory,Basic linear algebra
15A24,15,15Axx,Matrix equations and identities,Linear and multilinear algebra; matrix theory,Basic linear algebra
15A27,15,15Axx,Commutativity of matrices,Linear and multilinear algebra; matrix theory,Basic linear algebra
15A29,15,15Axx,Inverse problems in linear algebra,Linear and multilinear algebra; matrix theory,Basic linear algebra
15A30,15,15Axx,"Algebraic systems of matrices [See also 16S50, 20Gxx, 20Hxx]",Linear and multilinear algebra; matrix theory,Basic linear algebra
15A39,15,15Axx,Linear inequalities of matrices,Linear and multilinear algebra; matrix theory,Basic linear algebra
15A42,15,15Axx,Inequalities involving eigenvalues and eigenvectors,Linear and multilinear algebra; matrix theory,Basic linear algebra
15A45,15,15Axx,Miscellaneous inequalities involving matrices,Linear and multilinear algebra; matrix theory,Basic linear algebra
15A54,15,15Axx,Matrices over function rings in one or more variables,Linear and multilinear algebra; matrix theory,Basic linear algebra
15A60,15,15Axx,"Norms of matrices, numerical range, applications of functional analysis to matrix theory [See also 65F35,",Linear and multilinear algebra; matrix theory,Basic linear algebra
15A63,15,15Axx,"Quadratic and bilinear forms, inner products [See mainly 11Exx]",Linear and multilinear algebra; matrix theory,Basic linear algebra
15A66,15,15Axx,"Clifford algebras, spinors",Linear and multilinear algebra; matrix theory,Basic linear algebra
15A67,15,15Axx,"Applications of Clifford algebras to physics, etc.",Linear and multilinear algebra; matrix theory,Basic linear algebra
15A69,15,15Axx,"Multilinear algebra, tensor calculus",Linear and multilinear algebra; matrix theory,Basic linear algebra
15A72,15,15Axx,"Vector and tensor algebra, theory of invariants [See also 13A50, 14L24]",Linear and multilinear algebra; matrix theory,Basic linear algebra
15A75,15,15Axx,"Exterior algebra, Grassmann algebras",Linear and multilinear algebra; matrix theory,Basic linear algebra
15A78,15,15Axx,Other algebras built from modules,Linear and multilinear algebra; matrix theory,Basic linear algebra
15A80,15,15Axx,Max-plus and related algebras,Linear and multilinear algebra; matrix theory,Basic linear algebra
15A83,15,15Axx,Matrix completion problems,Linear and multilinear algebra; matrix theory,Basic linear algebra
15A86,15,15Axx,Linear preserver problems,Linear and multilinear algebra; matrix theory,Basic linear algebra
15A99,15,15Axx,"None of the above, but in this section",Linear and multilinear algebra; matrix theory,Basic linear algebra
15B05,15,15Bxx,"Toeplitz, Cauchy, and related matrices",Linear and multilinear algebra; matrix theory,Special matrices
15B10,15,15Bxx,Orthogonal matrices,Linear and multilinear algebra; matrix theory,Special matrices
15B15,15,15Bxx,Fuzzy matrices,Linear and multilinear algebra; matrix theory,Special matrices
15B30,15,15Bxx,Matrix Lie algebras,Linear and multilinear algebra; matrix theory,Special matrices
15B33,15,15Bxx,"Matrices over special rings (quaternions, finite fields, etc.)",Linear and multilinear algebra; matrix theory,Special matrices
15B34,15,15Bxx,Boolean and Hadamard matrices,Linear and multilinear algebra; matrix theory,Special matrices
15B35,15,15Bxx,Sign pattern matrices,Linear and multilinear algebra; matrix theory,Special matrices
15B36,15,15Bxx,Matrices of integers [See also 11C20],Linear and multilinear algebra; matrix theory,Special matrices
15B48,15,15Bxx,Positive matrices and their generalizations; cones of matrices,Linear and multilinear algebra; matrix theory,Special matrices
15B51,15,15Bxx,Stochastic matrices,Linear and multilinear algebra; matrix theory,Special matrices
15B52,15,15Bxx,"Random matrices (algebraic aspects) {For probabilistic aspects, see 60B20}",Linear and multilinear algebra; matrix theory,Special matrices
15B57,15,15Bxx,"Hermitian, skew-Hermitian, and related matrices",Linear and multilinear algebra; matrix theory,Special matrices
15B99,15,15Bxx,"None of the above, but in this section",Linear and multilinear algebra; matrix theory,Special matrices
16B50,16,16Bxx,Category-theoretic methods and results in associative algebras (except as in 16D90) [See also 18-XX],"Associative rings and algebras {For the commutative case, see",General and miscellaneous
16B70,16,16Bxx,Applications of logic in associative algebras [See also 03Cxx],"Associative rings and algebras {For the commutative case, see",General and miscellaneous
16B99,16,16Bxx,"None of the above, but in this section","Associative rings and algebras {For the commutative case, see",General and miscellaneous
16D10,16,16Dxx,General module theory in associative algebras,"Associative rings and algebras {For the commutative case, see","Modules, bimodules and ideals in associative algebras"
16D20,16,16Dxx,Bimodules in associative algebras,"Associative rings and algebras {For the commutative case, see","Modules, bimodules and ideals in associative algebras"
16D25,16,16Dxx,Ideals in associative algebras,"Associative rings and algebras {For the commutative case, see","Modules, bimodules and ideals in associative algebras"
16D30,16,16Dxx,Infinite-dimensional simple rings (except as in 16Kxx),"Associative rings and algebras {For the commutative case, see","Modules, bimodules and ideals in associative algebras"
16D40,16,16Dxx,"Free, projective, and flat modules and ideals in associative algebras [See also 19A13]","Associative rings and algebras {For the commutative case, see","Modules, bimodules and ideals in associative algebras"
16D50,16,16Dxx,"Injective modules, self-injective associative rings [See also 16L60]","Associative rings and algebras {For the commutative case, see","Modules, bimodules and ideals in associative algebras"
16D60,16,16Dxx,"Simple and semisimple modules, primitive rings and ideals in associative algebras","Associative rings and algebras {For the commutative case, see","Modules, bimodules and ideals in associative algebras"
16D70,16,16Dxx,"Structure and classification for modules, bimodules and ideals (except as in 16Gxx), direct sum decomposition and cancellation in associative algebras)","Associative rings and algebras {For the commutative case, see","Modules, bimodules and ideals in associative algebras"
16D80,16,16Dxx,Other classes of modules and ideals in associative algebras [See also 16G50],"Associative rings and algebras {For the commutative case, see","Modules, bimodules and ideals in associative algebras"
16D90,16,16Dxx,"Module categories in associative algebras [See also 16Gxx, 16S90]; module theory in a category-theoretic","Associative rings and algebras {For the commutative case, see","Modules, bimodules and ideals in associative algebras"
16D99,16,16Dxx,"None of the above, but in this section","Associative rings and algebras {For the commutative case, see","Modules, bimodules and ideals in associative algebras"
16E05,16,16Exx,"Syzygies, resolutions, complexes in associative algebras","Associative rings and algebras {For the commutative case, see","Homological methods in associative algebras {For commutative rings, see"
16E10,16,16Exx,Homological dimension in associative algebras,"Associative rings and algebras {For the commutative case, see","Homological methods in associative algebras {For commutative rings, see"
16E20,16,16Exx,"Grothendieck groups, K-theory, etc. [See also 18F30, 19Axx, 19D50]","Associative rings and algebras {For the commutative case, see","Homological methods in associative algebras {For commutative rings, see"
16E30,16,16Exx,"Homological functors on modules (Tor, Ext, etc.) in associative algebras","Associative rings and algebras {For the commutative case, see","Homological methods in associative algebras {For commutative rings, see"
16E35,16,16Exx,Derived categories and associative algebras,"Associative rings and algebras {For the commutative case, see","Homological methods in associative algebras {For commutative rings, see"
16E40,16,16Exx,"(Co)homology of rings and associative algebras (e.g., Hochschild, cyclic, dihedral, etc.)","Associative rings and algebras {For the commutative case, see","Homological methods in associative algebras {For commutative rings, see"
16E45,16,16Exx,Differential graded algebras and applications (associative algebraic aspects),"Associative rings and algebras {For the commutative case, see","Homological methods in associative algebras {For commutative rings, see"
16E50,16,16Exx,von Neumann regular rings and generalizations (associative algebraic aspects),"Associative rings and algebras {For the commutative case, see","Homological methods in associative algebras {For commutative rings, see"
16E60,16,16Exx,"Semihereditary and hereditary rings, free ideal rings, Sylvester rings, etc.","Associative rings and algebras {For the commutative case, see","Homological methods in associative algebras {For commutative rings, see"
